id,video_id,comment_id,title,text_display,text_original,description,likeCount,publishedAt,subscriberCount,videoCount,channelViewCount,authorChannelId,is_spam,checked,videoUploadedAt
802,KT1A4TP0QQg,Ugx02sQJBnGw6Of9UKB4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),ඒක්ද් නම් ලස්සනයි,ඒක්ද් නම් ලස්සනයි,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 06:08:36,0,0,0,UCKmzmZcLv3xN-QC35fxO9Fw,0,1,2020-02-20 00:00:00
803,KT1A4TP0QQg,UgzxwHZ27sIsr8Y0Aw94AaABAg,වින්දේ ඔබ නිසා (මේඝනා),අපේ වැම්පිනේ ඉතිං කෝමත් එයා සුපබ්බ්බ්බ්බ්...❤❤❤❤❤❤,අපේ වැම්පිනේ ඉතිං කෝමත් එයා සුපබ්බ්බ්බ්බ්...❤❤❤❤❤❤,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 05:02:17,11,2,56,UCCxh_OH7sE8QVZMCKYlO13Q,0,1,2020-02-20 00:00:00
807,KT1A4TP0QQg,UgxmpnxB77ljCEKFDhd4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),සිංදු හරියට එක දිගට අහන්න බෑ මේක ෆිල්ම් 1ක් වගේ නිසා ????,සිංදු හරියට එක දිගට අහන්න බෑ මේක ෆිල්ම් 1ක් වගේ නිසා ????,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 04:25:22,2,0,0,UCBZud2iL-EiKzaJmkRB4Pxg,0,1,2020-02-20 00:00:00
808,KT1A4TP0QQg,UgyB8JYqp7-MVr0yxpt4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),"කොමෙන්ට් දාන්න ආපු අයියලා මාවත් සබ්ස්ක්‍රයිබ් පාරක් දාගෙන යන්නෝ....<br />අන්න අන්න දැක්කෙ නෑ වගේ යනවා ????????????<br /><br />Subscribe please ❤️????<br /><br /><a href=""https://youtu.be/uPBRlAFgPow"">https://youtu.be/uPBRlAFgPow</a>","කොමෙන්ට් දාන්න ආපු අයියලා මාවත් සබ්ස්ක්‍රයිබ් පාරක් දාගෙන යන්නෝ....
අන්න අන්න දැක්කෙ නෑ වගේ යනවා ????????????

Subscribe please ❤️????

https://youtu.be/uPBRlAFgPow",වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 03:39:36,0,24,97963,UCbv7EZDgTuuzuGD0nJoy81w,1,1,2020-02-20 00:00:00
809,KT1A4TP0QQg,Ugxl4p7B7trkxNXboZh4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),ඒක පට්ට,ඒක පට්ට,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 03:37:02,793,15,15751,UCU0N7bGom1DZq54KCItY39w,0,1,2020-02-20 00:00:00
811,KT1A4TP0QQg,Ugxgiqw0FHkuZA7WFH54AaABAg,වින්දේ ඔබ නිසා (මේඝනා),බබාලාගෙත් බබාලා තොත්ත බබාලා  අනෙ.,බබාලාගෙත් බබාලා තොත්ත බබාලා  අනෙ.,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 03:02:31,294,2,451,UC30RTJ0fg8qI0LpE1_xtLkw,0,1,2020-02-20 00:00:00
813,KT1A4TP0QQg,UgxpaStER32eZA46i454AaABAg,වින්දේ ඔබ නිසා (මේඝනා),පට්ට♥️,පට්ට♥️,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 02:30:22,0,0,0,UCfRTuS6IAnuuSJBLqJWyVqA,0,1,2020-02-20 00:00:00
816,KT1A4TP0QQg,UgyYBAEmN_ej09n5Slp4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),එයා ඉන්න නිසා බලන්නත් කලින් ලයික් කලා ????,එයා ඉන්න නිසා බලන්නත් කලින් ලයික් කලා ????,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-24 01:20:15,1,0,0,UCwarMG7HIJDeAoV1ENCSzyg,0,1,2020-02-20 00:00:00
817,KT1A4TP0QQg,UgwWQzwKwBUoezvc-P14AaABAg,වින්දේ ඔබ නිසා (මේඝනා),"<a href=""https://www.youtube.com/channel/UCl6xaAkZ--yxdixxBkhXjoA?sub_confirmation=1"">https://www.youtube.com/channel/UCl6xaAkZ--yxdixxBkhXjoA?sub_confirmation=1</a>",https://www.youtube.com/channel/UCl6xaAkZ--yxdixxBkhXjoA?sub_confirmation=1,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-23 23:01:54,272,8,2638,UCl6xaAkZ--yxdixxBkhXjoA,1,1,2020-02-20 00:00:00
823,KT1A4TP0QQg,UgyssoVjMIbPBIm8UmV4AaABAg,වින්දේ ඔබ නිසා (මේඝනා),"<a href=""https://youtu.be/EwscIKhuOaU"">https://youtu.be/EwscIKhuOaU</a>",https://youtu.be/EwscIKhuOaU,වින්දේ ඔබ නිසා (මේඝනා),0,2020-02-23 17:55:01,0,2,6,UCTOm9Mj02shg9730cGp5CQA,1,1,2020-02-20 00:00:00
