id,video_id,comment_id,title,text_display,text_original,description,likeCount,publishedAt,subscriberCount,videoCount,channelViewCount,authorChannelId,is_spam,checked,videoUploadedAt
1,wxrPhUbPgaM,Ugz2gA6hyFkMVzCVHCZ4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,එජාප ඡන්ද පදනම මහා සුනාමි කළ රන්ජන් ඡන්ද මැෂිම,එජාප ඡන්ද පදනම මහා සුනාමියක් කළ රන්ජන් නම් ඡන්ද මැෂිම,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,189,2020-01-10 14:54:03,2,1,37,UCVyYUxyT1asnI2EZVu90RJQ,0,1,2020-01-10 09:29:44
2,wxrPhUbPgaM,Ugzo2rFLU1MMBi0fuFJ4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,"<a href=""https://www.youtube.com/channel/UCJh8tRprawVFIk7oHbIUNgw"">https://www.youtube.com/channel/UCJh8tRprawVFIk7oHbIUNgw</a> sub plz",https://www.youtube.com/channel/UCJh8tRprawVFIk7oHbIUNgw sub plz,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 07:51:35,19,4,150,UCJh8tRprawVFIk7oHbIUNgw,1,1,2020-01-10 09:29:44
3,wxrPhUbPgaM,UgxyBqOgcrAlULT0-5p4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,one shot ගෙ ආතල් අඬන ගමන් හිනා යන උන් like කරන් යමන්,one shot ගෙ ආතල් වලට අඬන ගමන් හිනා යන උන් ???? like කරන් යමන්,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 07:23:54,18,7,174,UCSU7w96EXCGabTfH5iUuj9g,0,1,2020-01-10 09:29:44
6,wxrPhUbPgaM,Ugz2TN-pa_ISU9RkYIt4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,සිංහල වල් කතා Upload කරන රනු,සිංහල වල් කතා වල දැන් Upload කරන්නෙ රන්ජගෙ ඒව යකෝ,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 06:17:10,28,41,712,UCp5f0LGSw2b_H_phzL1g0Zg,0,1,2020-01-10 09:29:44
7,wxrPhUbPgaM,UgyGEBUY4jNDX1Aor7p4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,"ඕස්ට්‍රේලියාවේදී ගිනි නිවන රථයක් ලැව් ගින්නට අසුවූ හැටි -<a href=""https://www.youtube.com/watch?v=_fJ6IcbC0hU"">https://www.youtube.com/watch?v=_fJ6IcbC0hU</a><br />තවත් මෙවැනි විඩීයෝ නරඹන්න අපේ චැනල් එක සබ්ස්ක්‍රයිබ් කරන්න","ඕස්ට්‍රේලියාවේදී ගිනි නිවන රථයක් ලැව් ගින්නට අසුවූ හැටි
 -https://www.youtube.com/watch?v=_fJ6IcbC0hU
තවත් මෙවැනි විඩීයෝ නරඹන්න අපේ චැනල් එක සබ්ස්ක්‍රයිබ් කරන්න",ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 06:02:39,0,12,242511,UCVFCjr3prM5nWNZRixyPIqg,1,1,2020-01-10 09:29:44
8,wxrPhUbPgaM,UgwU6ZGcy6ymJ-ZftEh4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,ආතල් රන්ජ,ආතල් නම් රන්ජ තමයි.,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,1,2020-01-14 05:35:49,231,22,1544,UC9XNopXYBbAmC3j9A1uRsTg,0,1,2020-01-10 09:29:44
10,wxrPhUbPgaM,Ugzaz2sOpoUgSdCZyZh4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,"<a href=""https://youtu.be/vPLa5NWlWWo"">https://youtu.be/vPLa5NWlWWo</a> ????????",https://youtu.be/vPLa5NWlWWo,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 02:46:49,16,13,336,UClxuGJD4y3fQ6ew21mj0ApA,1,1,2020-01-10 09:29:44
11,wxrPhUbPgaM,Ugz9XbW_nLQbuBSe_Qd4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,"<a href=""https://youtu.be/nXs2OOHbnWo"">https://youtu.be/nXs2OOHbnWo</a>",https://youtu.be/nXs2OOHbnWo,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 02:23:09,0,0,0,UCMVZFl51gTtuUmO6iav33ew,1,1,2020-01-10 09:29:44
13,wxrPhUbPgaM,Ugw6NDAbxeQm013U5kh4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,"<a href=""https://youtu.be/TzDSje6OmtM"">https://youtu.be/TzDSje6OmtM</a>",https://youtu.be/TzDSje6OmtM,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 01:43:57,11,2,428,UCX1MlmfPHjcZahA_2IbMH0Q,1,1,2020-01-10 09:29:44
14,wxrPhUbPgaM,UgwZTYga3AavjgD305p4AaABAg,අපි සෙක්ස් කරේ කවද්ද පියුමි ? රංජන් පියුමිගෙන් අසයි,සික බලන එයාලගෙ තියන හැදියා,සිකේ බලන්න එයාලගෙ තියන හැදියාව,ජනතාව ගේ බදු මුදලින් ආතල් ගන්න අපේ හිටපු UNP ඇමතිතුමා රන්ජන් රාමනායක ගේ දුරකථන සංවාදය පියුමි හංසමාලි සමඟ,0,2020-01-14 01:38:23,0,0,0,UCXd3MqXGj0rimc2fqWj3PJA,0,1,2020-01-10 09:29:44
