id,video_id,comment_id,title,text_display,text_original,description,likeCount,publishedAt,subscriberCount,videoCount,channelViewCount,authorChannelId,is_spam,checked,videoUploadedAt
1003,mTUCclD66dY,UgxjMPn2apNYRVOdgDh4AaABAg,වෛරස්,"super video you liked this video? <a href=""http://morebatet.com/sU"">http://morebatet.com/sU</a>",super video you liked this video? http://morebatet.com/sU,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,1,2020-02-24 00:41:50,0,0,0,UCzHOs_gwm-6Xy6hTd-_eHfw,1,1,2020-02-10 00:00:00
1006,mTUCclD66dY,Ugwkqq7xjpEzpePA5Uh4AaABAg,වෛරස්,"<a href=""https://www.facebook.com/chakratshirts/"">https://www.facebook.com/chakratshirts/</a><br /><br />Like &amp; share<br />Stay with us for high quality Chakra™️","https://www.facebook.com/chakratshirts/

Like & share
Stay with us for high quality Chakra™️",වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-23 19:39:40,0,0,0,UCLO0ZunqYVSxwg693238FAQ,1,1,2020-02-10 00:00:00
1008,mTUCclD66dY,Ugw89MvOFp6ZxfIogrh4AaABAg,වෛරස්,අඩ තමුසෙ පිස්සුද අඩේ,#_අඩේ තමුසෙට #_පිස්සුද අඩේ.. ????????,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-23 13:45:57,0,0,0,UCFcmVlbDpX1wGWmv-uTu44g,0,1,2020-02-10 00:00:00
1013,mTUCclD66dY,UgzqfiEueVAPxM2cVWd4AaABAg,වෛරස්,රැට්ටී ලස්සනයි,රැට්ටී ලස්සනයි ????????,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-23 07:54:59,0,227,7208348,UCy-hxiba64Ydrp_AHmkcCtg,0,1,2020-02-10 00:00:00
1014,mTUCclD66dY,Ugzrg1SCk5mWyZYzR7t4AaABAg,වෛරස්,සති මිලියනය් රැට්ටා සුපිරි ඈ,සතියෙන් මිලියනයයි රැට්ටා සුපිරි ඈ,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-23 07:15:56,632,19,3011,UCqtfpcPk5IE5Wi1OXR0gLkw,0,1,2020-02-10 00:00:00
1015,mTUCclD66dY,UgxSpxcPsyL1kI58_-x4AaABAg,වෛරස්,මං ඔයා subscribe ඔයා මා subscribe කරන,මම ඔයාව subscribe කරා ඔයා මාව subscribe කරන්න,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,1,2020-02-23 01:50:58,12,3,156,UCPrg8uhxFBvLa7N1TQXn6Og,1,1,2020-02-10 00:00:00
1017,mTUCclD66dY,Ugz_MkKi9LRW_iuFI0x4AaABAg,වෛරස්,"ape page eka subscribe karana <br /><a href=""https://www.youtube.com/channel/UCFJmY5BY1CmJFUyKDTZOG_Q?view_as=subscriber"">https://www.youtube.com/channel/UCFJmY5BY1CmJFUyKDTZOG_Q?view_as=subscriber</a>","ape page eka subscribe karana 
https://www.youtube.com/channel/UCFJmY5BY1CmJFUyKDTZOG_Q?view_as=subscriber",වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-22 15:37:25,449,139,42783,UCFJmY5BY1CmJFUyKDTZOG_Q,1,1,2020-02-10 00:00:00
1018,mTUCclD66dY,UgwitehxwrKDEqHI5q94AaABAg,වෛරස්,"ඉක්මනින්ම නිවැරැදිව ඉංග්‍රීසි ඉගෙනගන්න, එකතු වෙන්න Youtube Channel අපේ එකට <br /><br /><a href=""https://youtu.be/yWznSaJyCHo"">https://youtu.be/yWznSaJyCHo</a>","ඉක්මනින්ම නිවැරැදිව ඉංග්‍රීසි ඉගෙනගන්න, එකතු වෙන්න Youtube Channel අපේ එකට 

https://youtu.be/yWznSaJyCHo",වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-22 15:31:49,48,4,536,UCn3L2MRVpLHb6Hp5kA4AJxw,1,1,2020-02-10 00:00:00
1019,mTUCclD66dY,UgxBwOVMRqXh9HjSo_d4AaABAg,වෛරස්,ගල් බොතල් අපරද කියන හිතුන උන් කොන,ගල් බොතලෙ  අපරදෙ කියලා හිතුන උන් මෙ කොනට,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,0,2020-02-22 15:19:29,0,0,0,UC9BU4M7yYjNOn0ZNZ11cBkg,0,1,2020-02-10 00:00:00
1022,mTUCclD66dY,UgyPQjGrTseRzNKOu-B4AaABAg,වෛරස්,Ft රැටිටා,Ft බං රැටිටා,වැලන්ටයින් ගිෆ්ට් එක මෙතනින් තොරන්න,1,2020-02-22 13:04:29,0,0,0,UC1u8eq59R4L2M7O-tUP3aaQ,0,1,2020-02-10 00:00:00
