id,video_id,comment_id,text_display,text_original,is_spam,checked
2,1z4ughaHFj4,UgyOqRur7XVuSZsC-uN4AaABAg,"<a href=""https://youtu.be/9XHO4W7_4UI"">https://youtu.be/9XHO4W7_4UI</a>",https://youtu.be/9XHO4W7_4UI,1,1
5,1z4ughaHFj4,UgwKDIi_qJwGP2U0rOx4AaABAg,ලස්සන්‍යි බන්...වීඩියො එක බලන්නෙ නෙ සින්දුව අහනවා විතරයි..,ලස්සන්‍යි බන්...වීඩියො එක බලන්නෙ නෙ සින්දුව අහනවා විතරයි..,0,1
6,1z4ughaHFj4,Ugyeu3pV4VglihhGiOh4AaABAg,????පව් කරලා වැඩක් නැ සිල් අරන්.....මම් යන්නම යන්නම් සමු අරන්,????පව් කරලා වැඩක් නැ සිල් අරන්.....මම් යන්නම යන්නම් සමු අරන්,0,1
14,1z4ughaHFj4,UgzhtHRdH0xJUVZ8pvp4AaABAg,"රැල්ලට ගහගෙන යන්න එපා අයියේ. වෙනස් දෙයක් කරන්න උත්සහා කරන්න. අද බූට් සින්දුවක් ගත්තාම ඔක්කොම තියෙන්නෙ ඔයා ගියා, මම මැරෙනවා, මම යන්නම යනවා, මල් අරන් එන්න, සොහොන හදන්න, බ්ලා බ්ලා බ්ලා ????.... <br />. ඒත් එහෙම ලිවුවත් කමක් නෑ. අමු සිංහලෙන් ලියන්න එපා. ආදරෙන් පැරදුනු කෙනෙක්ට සින්දුවකින් කරන්න ඕනෙ හිත නිවන එක. සින්දුවක් කියන්නෙ අන්න ඒකට. අඬන එකට නෙමෙයි.<br />ඔයාහෙ කටහඬට ලස්සන සිංදු ලියන්න ඕන තරම් උගත් අය ඉන්නවා. නිකම් අමු වැලපිලි සින්දු කරන්න එපා.<br />වීඩියෝ එකත් සේම් ස්ටෝරි. <br />ඔයාට පුලුවන් වෙනස් දෙයක් හිතලා කරන්න. පොඩ්ඩක් ඒක ගැන හිතන්න. <br />ඉරිසියාව කියලා කියවගෙන එන්න එපා. මේක තිවන්ක අයියගෙ වැරැද්දක් කිවුවා නෙමෙයි. <br />ඊලඟට කරන නිර්මාණයේදී ඔයාගෙ හඬේ වටිනාකමට සමාන නිර්මාණයකට අතගහන්න.<br />Keep it up. Good luck ❤️","රැල්ලට ගහගෙන යන්න එපා අයියේ. වෙනස් දෙයක් කරන්න උත්සහා කරන්න. අද බූට් සින්දුවක් ගත්තාම ඔක්කොම තියෙන්නෙ ඔයා ගියා, මම මැරෙනවා, මම යන්නම යනවා, මල් අරන් එන්න, සොහොන හදන්න, බ්ලා බ්ලා බ්ලා ????.... 
. ඒත් එහෙම ලිවුවත් කමක් නෑ. අමු සිංහලෙන් ලියන්න එපා. ආදරෙන් පැරදුනු කෙනෙක්ට සින්දුවකින් කරන්න ඕනෙ හිත නිවන එක. සින්දුවක් කියන්නෙ අන්න ඒකට. අඬන එකට නෙමෙයි.
ඔයාහෙ කටහඬට ලස්සන සිංදු ලියන්න ඕන තරම් උගත් අය ඉන්නවා. නිකම් අමු වැලපිලි සින්දු කරන්න එපා.
වීඩියෝ එකත් සේම් ස්ටෝරි. 
ඔයාට පුලුවන් වෙනස් දෙයක් හිතලා කරන්න. පොඩ්ඩක් ඒක ගැන හිතන්න. 
ඉරිසියාව කියලා කියවගෙන එන්න එපා. මේක තිවන්ක අයියගෙ වැරැද්දක් කිවුවා නෙමෙයි. 
ඊලඟට කරන නිර්මාණයේදී ඔයාගෙ හඬේ වටිනාකමට සමාන නිර්මාණයකට අතගහන්න.
Keep it up. Good luck ❤️",0,1
20,1z4ughaHFj4,UgwMWsprBrAjYKlyF1x4AaABAg,"වොයිස් එකට හදපන්කෝ හොද සිංදුවක්,, අඩන සිංදු නැතුම්","වොයිස් එකට හදපන්කෝ හොද සිංදුවක්,, අඩන සිංදු නැතුම්",0,1
21,1z4ughaHFj4,UgwBjxyXc-A7lxMzIbd4AaABAg,"මොකද්ද බන් මේ???????? අඩනවනි බන්,, අඩනවටම ආස ඇයී බන් ????","මොකද්ද බන් මේ???????? අඩනවනි බන්,, අඩනවටම ආස ඇයී බන් ????",0,1
22,1z4ughaHFj4,UgykXxFkrzdA38kWCvB4AaABAg,අඩෝ තිවංකයා අපරාදෙ බං උබේ වොයිස් එක.මේ වගේ වාක්‍ය රචනා කියවලා චාටර් කරගන්නෙපා????????<br />උබේ මහ වරුසාවේ කවර් එක මං මුලින්ම අහපු දවසෙ ඉදන් හැමදාම දවස් දෙකකට සැරයක් වත් අහනවා.මේ වගේ සිංදු කියන්න උන් ඕන තරං ඉන්නවා.උබට ඊට වඩා ලොකු දෙයක් කරන්න පුලුවන්.වචන වලින් එහාට ගිහිං තමංගෙ කටහඩින් මිනිස්සුන්ගෙ හදවතට කතා කරන හැකියාව තියෙන්නෙ බොහොම ටික දෙනාටයි. ඒකෙන් ප්‍රයොජනවන් දෙයක් කරපන්.<br />ඉස්සරහට උබේ වටිනාකමට ගැලපෙන නිර්මාණයක් බලාපොරොත්තු වෙනවා. උබට ජය!!????????????????????????,"අඩෝ තිවංකයා අපරාදෙ බං උබේ වොයිස් එක.මේ වගේ වාක්‍ය රචනා කියවලා චාටර් කරගන්නෙපා????????
උබේ මහ වරුසාවේ කවර් එක මං මුලින්ම අහපු දවසෙ ඉදන් හැමදාම දවස් දෙකකට සැරයක් වත් අහනවා.මේ වගේ සිංදු කියන්න උන් ඕන තරං ඉන්නවා.උබට ඊට වඩා ලොකු දෙයක් කරන්න පුලුවන්.වචන වලින් එහාට ගිහිං තමංගෙ කටහඩින් මිනිස්සුන්ගෙ හදවතට කතා කරන හැකියාව තියෙන්නෙ බොහොම ටික දෙනාටයි. ඒකෙන් ප්‍රයොජනවන් දෙයක් කරපන්.
ඉස්සරහට උබේ වටිනාකමට ගැලපෙන නිර්මාණයක් බලාපොරොත්තු වෙනවා. උබට ජය!!????????????????????????",0,1
24,1z4ughaHFj4,Ugxsr4D9gj0NkTAMQUZ4AaABAg,මෙලො රහක් නැ මට නම්,මෙලො රහක් නැ මට නම්,0,1
25,1z4ughaHFj4,UgxWBfpQeGRX27iITiB4AaABAg,එලකිරි ????❤,එලකිරි ????❤,0,1
32,1z4ughaHFj4,UgwZzLrFSxvJJCGbOcx4AaABAg,&quot;පවු කරල වැඩක් නෑ සිල් අරං&quot;.මොකද්ද බං ඒ.,"""පවු කරල වැඩක් නෑ සිල් අරං"".මොකද්ද බං ඒ.",0,1
